,molecule,engine,temperature,pressure,ensemble,forcefield_name,cutoff_style,long_range_correction,r_cut,pressure-avg,pressure-std,pressure-sem,temperature-avg,temperature-std,temperature-sem,potential_energy-avg,potential_energy-std,potential_energy-sem,density-avg,density-std,density-sem
0,methaneUA,cassandra,140.0,1318.0,NPT,trappe-ua,hard,energy_pressure,1.4,1292.1047136521488,31.592770246951666,7.8981925617379165,140.0,0.0,0.0,-5695.189620521354,2.915553296563871,0.7288883241409677,0.37572356204531254,0.0001751962404427804,4.37990601106951e-05
1,methaneUA,mcccs,140.0,1318.0,NPT,trappe-ua,hard,energy_pressure,1.4,1285.4831025069896,37.20743432388115,9.301858580970288,0.0,0.0,0.0,-5695.738792702148,3.0293633272880056,0.7573408318220014,0.375689094537191,0.00018367938450319313,4.5919846125798284e-05
2,methaneUA,gomc,140.0,1318.0,NPT,trappe-ua,hard,energy_pressure,1.4,1301.81422061616,58.830674561139986,14.707668640284997,140.0,0.0,0.0,-685093.8421600625,208.00218845104496,52.00054711276124,0.3757889993377084,0.00011691176661201252,2.922794165300313e-05
3,methaneUA,gromacs,140.0,1318.0,NPT,trappe-ua,hard,energy_pressure,1.4,13.588645423936484,1.0591647556941834,0.26479118892354586,140.00376846643204,0.051552152017493635,0.012888038004373409,-5698.862840276335,1.6907945007949114,0.42269862519872786,0.3759555197390835,5.592110954235338e-05,1.3980277385588345e-05
4,methaneUA,hoomd,140.0,1318.0,NPT,trappe-ua,hard,energy_pressure,1.4,1345.1464581169503,84.93437741138331,21.233594352845827,139.99030106041437,0.05526446891109055,0.013816117227772637,-5698.978934502496,1.537298743603749,0.38432468590093727,0.3758576836970137,8.494635614986224e-05,2.123658903746556e-05
5,methaneUA,lammps-VU,140.0,1318.0,NPT,trappe-ua,hard,energy_pressure,1.4,1.3727125266159015,0.14510227816929513,0.036275569542323784,140.0187312234737,0.06909822894426526,0.017274557236066315,-5699.011530679261,0.8883769467881574,0.22209423669703934,0.3759717385014754,5.600563041526528e-05,1.400140760381632e-05
6,pentaneUA-flexible_bonds,gromacs,372.0,1402.0,NPT,trappe-ua,hard,energy_pressure,1.4,16.97417395526093,7.974022842197014,1.9935057105492535,371.95733902495385,0.15426009955766953,0.03856502488941738,-501.0960575159138,11.9319023834854,2.98297559587135,0.5339144389851077,0.0013052560405661516,0.0003263140101415379
7,pentaneUA-flexible_bonds,hoomd,372.0,1402.0,NPT,trappe-ua,hard,energy_pressure,1.4,1857.8986043278728,1029.4136806403035,257.35342016007587,370.0728227234559,0.06753494307570201,0.016883735768925504,-579.9703388109001,16.77269035193304,4.19317258798326,0.5444344331662561,0.0016273073789420784,0.0004068268447355196
8,pentaneUA-flexible_bonds,lammps-VU,372.0,1402.0,NPT,trappe-ua,hard,energy_pressure,1.4,928.9680976970318,2861.1272486888683,715.2818121722171,371.9753474023654,0.2088462927247026,0.05221157318117565,-452.67791782923,15.456058650662392,3.864014662665598,0.5432271222473475,0.0018561358209731838,0.00046403395524329596
9,pentaneUA-constrain_bonds,cassandra,372.0,1402.0,NPT,trappe-ua,hard,energy_pressure,1.4,1348.1548122757595,70.96284002873008,17.74071000718252,372.0,0.0,0.0,-2423.008360798958,8.612346519187353,2.1530866297968383,0.5411892539406251,0.000849528286867198,0.0002123820717167995
10,pentaneUA-constrain_bonds,mcccs,372.0,1402.0,NPT,trappe-ua,hard,energy_pressure,1.4,1405.6732123863176,62.343357023616285,15.585839255904071,0.0,0.0,0.0,-2417.163109475033,4.0531456026239985,1.0132864006559996,0.5410811459493838,0.00034611588672722553,8.652897168180638e-05
11,pentaneUA-constrain_bonds,gomc,372.0,1402.0,NPT,trappe-ua,hard,energy_pressure,1.4,1402.1451191031783,122.33555496765892,30.58388874191473,372.0,0.0,0.0,-289476.5306132032,695.9399642321441,173.98499105803603,0.540849320879125,0.0005165323368682392,0.0001291330842170598
12,pentaneUA-constrain_bonds,gromacs,372.0,1402.0,NPT,trappe-ua,hard,energy_pressure,1.4,14.357145017690527,3.1597071853930756,0.7899267963482689,371.9695708336262,0.1266716916298173,0.03166792290745433,-2425.9794197016618,6.719675700234464,1.679918925058616,0.5419011696532579,0.00032131570087705043,8.032892521926261e-05
13,pentaneUA-constrain_bonds,hoomd,372.0,1402.0,NPT,trappe-ua,hard,energy_pressure,1.4,1371.946960694772,400.5795327139803,100.14488317849508,371.88057372250626,0.16990409362951864,0.04247602340737966,-2426.950978718094,2.7282250208703,0.682056255217575,0.5419898727782438,0.0003018600468904706,7.546501172261765e-05
14,benzeneUA,cassandra,450.0,2260.0,NPT,benzene-ua,hard,energy_pressure,1.4,2235.812474062985,116.1144865920127,29.028621648003174,450.0,0.0,0.0,-8279.860781446354,10.994613044795699,2.7486532611989247,0.6984355226084895,0.0009722288849456309,0.00024305722123640772
15,benzeneUA,mcccs,450.0,2260.0,NPT,benzene-ua,hard,energy_pressure,1.4,2200.236457444853,64.21949533201024,16.05487383300256,0.0,0.0,0.0,-6025.8666432965365,11.978552931439388,2.994638232859847,0.6982516843314356,0.0007073514033403517,0.00017683785083508793
16,benzeneUA,gomc,450.0,2260.0,NPT,benzene-ua,hard,energy_pressure,1.4,2261.3261238725845,113.57359149858733,28.393397874646833,450.0,0.0,0.0,-996248.5051899063,1104.6892172880082,276.17230432200205,0.6986877138757969,0.0008168704743399857,0.00020421761858499643
17,benzeneUA,hoomd,450.0,2260.0,NPT,benzene-ua,hard,energy_pressure,1.4,2251.5109715634776,134.82018403402094,33.705046008505235,450.03154924378845,0.10726901893734267,0.026817254734335667,-8268.853515488903,2.756902247698143,0.6892255619245358,0.697397596184184,0.00024355057173543624,6.088764293385906e-05
18,benzeneUA,lammps-VU,450.0,2260.0,NPT,benzene-ua,hard,energy_pressure,1.4,2275.7208916034388,190.05164979065881,47.512912447664704,450.5924355773069,0.2650670841539167,0.06626677103847918,-8268.001035948888,3.859259605635823,0.9648149014089558,0.6976587115413384,0.0003191241366926712,7.97810341731678e-05
19,waterSPCE,mcccs,280.0,101.325,NPT,spce,hard,energy_pressure,0.9,492.5217115593749,274.4140746706369,68.60351866765923,0.0,0.0,0.0,-52748.07641691869,41.68320678915052,10.42080169728763,1.0065623982385288,0.0017102567726938519,0.00042756419317346297
20,waterSPCE,mcccs,300.0,101.325,NPT,spce,hard,energy_pressure,0.9,346.1675232364063,238.35272346937475,59.58818086734369,0.0,0.0,0.0,-51376.63117764762,19.40948488327741,4.852371220819353,0.9974167823082373,0.0011413710442673161,0.00028534276106682903
21,waterSPCE,mcccs,320.0,101.325,NPT,spce,hard,energy_pressure,0.9,217.3362368132083,356.7486929276063,89.18717323190158,0.0,0.0,0.0,-50039.82971097703,16.46029181639707,4.115072954099268,0.986378609639563,0.0009200998165328888,0.0002300249541332222
22,waterSPCE,gomc,280.0,101.325,NPT,spce,hard,energy_pressure,0.9,244.26521875101412,486.27808815879854,121.56952203969963,280.0,0.0,0.0,-6340788.739425104,3976.241470428791,994.0603676071978,1.0068742335552554,0.001648215174777416,0.000412053793694354
23,waterSPCE,gomc,300.0,101.325,NPT,spce,hard,energy_pressure,0.9,311.77161049087505,506.6753819510163,126.66884548775407,300.0,0.0,0.0,-6173561.208366301,2376.258731989235,594.0646829973088,0.9978894387415365,0.001193495558743343,0.00029837388968583574
24,waterSPCE,gomc,320.0,101.325,NPT,spce,hard,energy_pressure,0.9,265.9610005581678,422.41258608670194,105.60314652167548,320.0,0.0,0.0,-6018771.941017187,2242.85616469677,560.7140411741925,0.9861967911254947,0.0008218002333186185,0.00020545005832965462
25,waterSPCE,gromacs,280.0,101.325,NPT,spce,hard,energy_pressure,0.9,2.63376125121192,6.145357442668665,1.5363393606671663,279.98504878998483,0.11196547350351116,0.02799136837587779,-52757.83437422643,5.12082871734372,1.28020717933593,1.006681426766829,0.00016879264173388464,4.219816043347116e-05
26,waterSPCE,gromacs,300.0,101.325,NPT,spce,hard,energy_pressure,0.9,1.8744505275806846,4.6776785352050325,1.1694196338012581,299.9964636801051,0.1268188024689472,0.0317047006172368,-51377.03211423709,6.366049074350575,1.5915122685876437,0.997884642228878,0.00010892115021441202,2.7230287553603004e-05
27,waterSPCE,gromacs,320.0,101.325,NPT,spce,hard,energy_pressure,0.9,2.0955062562095814,6.269449381544339,1.5673623453860848,319.98993839855814,0.10711308876671398,0.026778272191678495,-50043.77258526828,3.449019886396933,0.8622549715992333,0.9863713166248183,0.00013909994483075365,3.477498620768841e-05
28,waterSPCE,hoomd,280.0,101.325,NPT,spce,hard,energy_pressure,0.9,-99.33640054930041,945.3953265290031,236.34883163225078,279.5379865837039,0.04143091216852132,0.01035772804213033,-52744.24093032333,4.92069443580055,1.2301736089501376,1.006572295436781,0.00017623787459348486,4.4059468648371215e-05
29,waterSPCE,hoomd,300.0,101.325,NPT,spce,hard,energy_pressure,0.9,13.152213180670373,620.0950559180179,155.02376397950448,299.50456544410036,0.03483938905237124,0.00870984726309281,-51370.08162540954,5.70235572028213,1.4255889300705324,0.9978713895661253,0.00018895279032016575,4.7238197580041436e-05
30,waterSPCE,hoomd,320.0,101.325,NPT,spce,hard,energy_pressure,0.9,368.66982144427595,824.5618934803779,206.14047337009447,319.5004836884521,0.07316442156380003,0.018291105390950007,-50033.88248913895,5.196860047911769,1.2992150119779422,0.9863582701788145,0.00020292440438574735,5.073110109643684e-05
31,waterSPCE,lammps-VU,280.0,101.325,NPT,spce,hard,energy_pressure,0.9,-0.2966353234737142,1.0935806012083817,0.27339515030209544,280.0449006680848,0.11098768195013652,0.02774692048753413,-52633.59478870424,7.216325148521126,1.8040812871302816,1.0068795721825756,0.00022887788622402054,5.7219471556005136e-05
32,waterSPCE,lammps-VU,300.0,101.325,NPT,spce,hard,energy_pressure,0.9,0.16998731051498583,1.1940528586039505,0.2985132146509876,299.9855307249328,0.14238807715866109,0.03559701928966527,-51251.07075384754,5.842480086362603,1.4606200215906509,0.9979992850805295,0.00022483770202246937,5.6209425505617344e-05
33,waterSPCE,lammps-VU,320.0,101.325,NPT,spce,hard,energy_pressure,0.9,0.185014730686413,1.0558209112352044,0.2639552278088011,320.06921392759466,0.1186647097934372,0.0296661774483593,-49918.14367100615,7.612600465387632,1.903150116346908,0.9863388500911472,0.0002236567788209163,5.591419470522907e-05
