,molecule,engine,temperature,pressure,ensemble,forcefield_name,cutoff_style,long_range_correction,r_cut,pressure-avg,pressure-std,pressure-sem,temperature-avg,temperature-std,temperature-sem,potential_energy-avg,potential_energy-std,potential_energy-sem,density-avg,density-std,density-sem
19,waterSPCE,mcccs,280.0,101.325,NPT,spce,hard,energy_pressure,0.9,492.5217115593749,274.4140746706369,68.60351866765923,0.0,0.0,0.0,-52748.07641691869,41.68320678915052,10.42080169728763,1.0065623982385288,0.0017102567726938519,0.00042756419317346297
20,waterSPCE,mcccs,300.0,101.325,NPT,spce,hard,energy_pressure,0.9,346.1675232364063,238.35272346937475,59.58818086734369,0.0,0.0,0.0,-51376.63117764762,19.40948488327741,4.852371220819353,0.9974167823082373,0.0011413710442673161,0.00028534276106682903
21,waterSPCE,mcccs,320.0,101.325,NPT,spce,hard,energy_pressure,0.9,217.3362368132083,356.7486929276063,89.18717323190158,0.0,0.0,0.0,-50039.82971097703,16.46029181639707,4.115072954099268,0.986378609639563,0.0009200998165328888,0.0002300249541332222
22,waterSPCE,gomc,280.0,101.325,NPT,spce,hard,energy_pressure,0.9,244.26521875101412,486.27808815879854,121.56952203969963,280.0,0.0,0.0,-6340788.739425104,3976.241470428791,994.0603676071978,1.0068742335552554,0.001648215174777416,0.000412053793694354
23,waterSPCE,gomc,300.0,101.325,NPT,spce,hard,energy_pressure,0.9,311.77161049087505,506.6753819510163,126.66884548775407,300.0,0.0,0.0,-6173561.208366301,2376.258731989235,594.0646829973088,0.9978894387415365,0.001193495558743343,0.00029837388968583574
24,waterSPCE,gomc,320.0,101.325,NPT,spce,hard,energy_pressure,0.9,265.9610005581678,422.41258608670194,105.60314652167548,320.0,0.0,0.0,-6018771.941017187,2242.85616469677,560.7140411741925,0.9861967911254947,0.0008218002333186185,0.00020545005832965462
25,waterSPCE,gromacs,280.0,101.325,NPT,spce,hard,energy_pressure,0.9,2.63376125121192,6.145357442668665,1.5363393606671663,279.98504878998483,0.11196547350351116,0.02799136837587779,-52757.83437422643,5.12082871734372,1.28020717933593,1.006681426766829,0.00016879264173388464,4.219816043347116e-05
26,waterSPCE,gromacs,300.0,101.325,NPT,spce,hard,energy_pressure,0.9,1.8744505275806846,4.6776785352050325,1.1694196338012581,299.9964636801051,0.1268188024689472,0.0317047006172368,-51377.03211423709,6.366049074350575,1.5915122685876437,0.997884642228878,0.00010892115021441202,2.7230287553603004e-05
27,waterSPCE,gromacs,320.0,101.325,NPT,spce,hard,energy_pressure,0.9,2.0955062562095814,6.269449381544339,1.5673623453860848,319.98993839855814,0.10711308876671398,0.026778272191678495,-50043.77258526828,3.449019886396933,0.8622549715992333,0.9863713166248183,0.00013909994483075365,3.477498620768841e-05
28,waterSPCE,hoomd,280.0,101.325,NPT,spce,hard,energy_pressure,0.9,-99.33640054930041,945.3953265290031,236.34883163225078,279.5379865837039,0.04143091216852132,0.01035772804213033,-52744.24093032333,4.92069443580055,1.2301736089501376,1.006572295436781,0.00017623787459348486,4.4059468648371215e-05
29,waterSPCE,hoomd,300.0,101.325,NPT,spce,hard,energy_pressure,0.9,13.152213180670373,620.0950559180179,155.02376397950448,299.50456544410036,0.03483938905237124,0.00870984726309281,-51370.08162540954,5.70235572028213,1.4255889300705324,0.9978713895661253,0.00018895279032016575,4.7238197580041436e-05
30,waterSPCE,hoomd,320.0,101.325,NPT,spce,hard,energy_pressure,0.9,368.66982144427595,824.5618934803779,206.14047337009447,319.5004836884521,0.07316442156380003,0.018291105390950007,-50033.88248913895,5.196860047911769,1.2992150119779422,0.9863582701788145,0.00020292440438574735,5.073110109643684e-05
31,waterSPCE,lammps-VU,280.0,101.325,NPT,spce,hard,energy_pressure,0.9,-0.2966353234737142,1.0935806012083817,0.27339515030209544,280.0449006680848,0.11098768195013652,0.02774692048753413,-52633.59478870424,7.216325148521126,1.8040812871302816,1.0068795721825756,0.00022887788622402054,5.7219471556005136e-05
32,waterSPCE,lammps-VU,300.0,101.325,NPT,spce,hard,energy_pressure,0.9,0.16998731051498583,1.1940528586039505,0.2985132146509876,299.9855307249328,0.14238807715866109,0.03559701928966527,-51251.07075384754,5.842480086362603,1.4606200215906509,0.9979992850805295,0.00022483770202246937,5.6209425505617344e-05
33,waterSPCE,lammps-VU,320.0,101.325,NPT,spce,hard,energy_pressure,0.9,0.185014730686413,1.0558209112352044,0.2639552278088011,320.06921392759466,0.1186647097934372,0.0296661774483593,-49918.14367100615,7.612600465387632,1.903150116346908,0.9863388500911472,0.0002236567788209163,5.591419470522907e-05
